,H,R,T
0,Attacks,can_harm,public domain
1,IDS,uses,Intrusion Detection
2,Snort,uses,Intrusion Detection
3,Snort,can_detect,network attacks
4,packet logger,is_part_of,Snort
5,Snort,can_analyze,traffic
6,Snort,has_a,data flow
7,Snort,uses,protocol analysis
8,Snort,uses,detection technique
9,detection technique,can_detect,attacks
10,Snort,can_analyze,packet
11,Snort rules,has_a,language
12,Snort,can_analyze,previous attack pattern
13,Snort,can_analyze,network behavior
14,Snort,can_analyze,bad packet
15,Packet Decoder,is_part_of,Snort
16,Packet Decoder,can_analyze,packets
17,Packet Decoder,has_a,protocols
18,Packet Decoder,can_analyze,packet
19,Packet Decoder,can_analyze,header anomalies
20,Preprocessor,is_part_of,Snort
21,Preprocessor,can_analyze,HTTP anomalies
22,Preprocessor,can_analyze,FTP anomalies
23,Preprocessor,can_analyze,packet data
24,Detection Engine,is_part_of,Snort
25,Detection Engine,uses,detection technique
26,detection technique,can_detect,intrusion
27,intrusion,can_harm,packet
28,Detection Engine,has_a,rules
29,Log Alert system,is_part_of,Snort
30,Output Module,is_part_of,Snort
31,Output Module,has_a,output
32,Output Module,has_a,alerts
33,Snort,has_a,Sniff mode
34,Snort,uses,sniff
35,Ingress,can_analyze,incoming traffic
36,packet logger,can_analyze,data
37,Snort,can_analyze,tcpdump pcap
38,unified2,is_part_of,Snort
39,Wireshark,can_analyze,tcpdump pcap
40,Detection alert,can_analyze,IP packets
41,Snort rules,can_analyze,system variables
42,Snort rules,has_a,payload options
43,payload options,can_analyze,data
44,Snort rules,has_a,non payload options
45,Packet forwarding,can_analyze,Gateway
46,Firewall,uses,sniff
47,Firewall,has_a,testing
48,Nmap,has_a,open source
49,open source,is_part_of,tool
50,Nmap,uses,network discovery
51,Nmap,uses,security auditing
52,Nmap,can_analyze,exposed
53,target machine,uses,information
54,nmap,can_analyze,packets
55,Nmap,has_a,network mapper
56,network discovery,has_a,tools
57,Nmap,is_part_of,tools
58,network administrators,implements,map
59,map,can_analyze,networks
60,program,can_analyze,live hosts
61,Nmap,uses,network scanning
62,network scanning,has_a,tool
63,tool,can_analyze,IP packets
64,network,uses,information
65,Nmap,can_analyze,enterprise-scale networks
66,scan,can_analyze,connected devices
67,Nmap,uses,IoT security
68,Nmap,can_analyze,information
69,legitimate,can_analyze,service
70,live hosts,has_a,open ports
71,open ports,can_analyze,OS
72,scan,can_analyze,server
73,hacker,implements,attack
74,attack,can_harm,site
75,Nmap,uses,processes
76,active,can_analyze,networks
77,networks,has_a,IP
78,administrators,can_analyze,IP
79,tool,uses,system monitoring
80,Nmap,is_part_of,Metasploit framework
81,Metasploit framework,uses,probe
82,probe,can_analyze,network vulnerabilities
83,users,uses,personal
84,Nmap,uses,scan
85,web server,has_a,hosting
86,hosting,can_analyze,website
87,hacker,uses,process
88,process,can_detect,attack
89,Attacking,can_harm,site
90,site,can_expose,security vulnerabilities
91,system admins,implements,programs
92,tools,has_a,program
93,network monitoring,has_a,tools
94,Nmap,is_part_of,command-line interfaces
95,scripts,has_a,automate
96,target,has_a,IP address
97,open,can_analyze,operating system
98,operating system,has_a,TCP
99,three-way handshake,has_a,port scanner
100,port scanner,has_a,connection
101,connection,can_detect,DOS
102,log,can_analyze,sender
103,sender,has_a,IP address
104,IP address,is_part_of,Intrusion Detection Systems
105,3-way handshake,can_analyze,scanned
106,Sends,has_a,SYN
107,sending,has_a,ACK
108,connection,can_analyze,FIN packets
109,closed,can_analyze,sender
110,received,has_a,response
111,response,can_analyze,RESET packet
112,incoming,can_analyze,UDP packet
113,reveal,can_detect,Trojan horses
114,high UDP ports,can_analyze,hidden RPC services
115,machines,has_a,slow down responses
116,slow down responses,can_analyze,traffic
117,Windows OS,has_a,slowdown feature
118,target system,uses,ICMP Port Unreachable message
119,send,has_a,response
120,response,is_part_of,Nmap
121,Nmap,has_a,time out
122,Closed ports,can_analyze,ICMP port unreachable error
123,host-timeout,can_analyze,slow hosts
124,chill out,is_part_of,Nmap
125,port scanner,can_analyze,raw IP packets
126,port scanner,can_analyze,SYN packet
127,respond,can_analyze,SYN-ACK packet
128,scanner,can_analyze,host
129,host,has_a,responds
130,responds,can_analyze,RST packet
131,unfiltered,can_analyze,target
132,target,has_a,respond
133,respond,can_analyze,RST packet
134,scan,can_detect,intrusive
135,intrusive,can_harm,target host
136,receive,has_a,connection
137,Attacker,uses,RESET RST
138,established,can_analyze,target
139,log,has_a,connection
140,closed,can_analyze,destination
141,destination,has_a,RESET
142,SYN flood,is_part_of,accidental
143,accidental,is_part_of,denial-of-service attacks
144,denial-of-service attacks,can_harm,target
145,target,has_a,slow
146,sends,can_analyze,TCP FIN packet
147,negatives,is_part_of,IDS
148,IDS,has_a,programs
149,probe,has_a,firewall
150,firewall,has_a,rulesets
151,established connections,can_analyze,packets ACK bit
152,stateful,is_part_of,firewall
153,attacker,uses,packet filtering
154,attacker,uses,established connections
155,established connections,is_part_of,firewall
156,firewall,can_analyze,router
157,network,has_a,ports
158,ports,is_part_of,firewall
159,firewall,has_a,established connection
160,response,can_analyze,ICMP Port Unreachable message
161,Nmap,has_a,target port
162,non-Windows servers,has_a,firewall
163,Windows machines,has_a,respond
164,flags,can_analyze,packet
165,Remote Procedure Call,can_analyze,services
166,remote commands,can_analyze,machine
167,machine,has_a,service
168,RPC services,has_a,ports
169,open,can_analyze,machine
170,program,has_a,name
171,RPC services,has_a,open
172,TCP/UDP ports,can_analyze,target
173,program,has_a,listening
174,host,has_a,requirements
175,IP address,can_analyze,zombie host
176,zombie host,has_a,port number
177,Nmap,can_detect,malicious attacks
178,zombie,has_a,IP ID
179,IP ID,can_analyze,Forge
180,zombie,has_a,port
181,port,can_analyze,target
182,port state,can_analyze,target
183,IP ID,can_analyze,target
184,target,has_a,port state
185,NSE,is_part_of,Nmap Scripting Engine
186,Nmap scripts,has_a,default
187,default,is_part_of,Nmap
