alarm_id,alarm_name,alarm_text,alarm_code,ce_on,ce_off,description
-66,,TCP connection closed,,,,对等机器已关闭网络连接
-500,,The Loop folder has non-CSV files,,,,Loop文件夹有非CSV文件
-1050,,Failed to open the COM,,,,COM口打开失败
-1060,,Robot TCP connection failure,,,,Robot连接失败
-1063,,TCP connection failure,,,,TCP连接失败
-1064,,PLC connection failure,,,,PLC连接失败
-1065,,Carrier scan failed,,,,载具扫码失败
-1067,,Carrier scan times out,,,,载具扫码超时
-1069,,The length of TCP write characters is invalid,,,,TCP写入字符长度失效
-1070,,Fail to open CCD,,,,XX相机打开失败
-1071,,CCD Alarm,,,,XX相机报警
-1100,,Undefined Section,,,,未定义的Section
-2000,,Warning Error,,,,警告提示
-2010,,Undefined Error,,,,未知错误
-2060,,File type Error,,,,文件类型错误
-3001,,The corresponding queue was not retrieved,,,,未检索到相应的队列
-3002,,No Section was retrieved,,,,未检索到Section
-3500,,Calibration_Failed to match Qr code area,,,,标定匹配二维码区域失败
-3501,,Calibration_Squares not found,,,,标定未找到正方形
-3502,,Quadrant out of camera resolution range or QR code reading failed,,,,象限超过相机分辨率范围或二维码读取失败
-4001,,The main panel control reference was not found,,,,未找到主面板控件引用
-4101,,Login Sysdata is not exist,,,,登录文件不存在
-4300,,Bin not in safe position,,,,料仓不在安全位置
-5100,,Photo failure,,,,拍照失败!
-5101,,CCD Error,,,,CCD报错
-6000,,GTN_Open card failure,,,,GTN开卡失败
-6001,,Failed to enable the Axis,,,,有轴使能失败
-6002,,Axis Num Error,,,,轴号错误
-6003,,The axis is not defined or has an incorrect name,,,,轴未定义或名称错误
-6004,,The point coordinate system does not exist,,,,点位坐标系不存在
-6005,,Axis ServoON Error,,,,Axis  xx  ServoONError!
-6010,,Read Axis status Error,,,,轴状态读取报错
-6011,,Get Axis position Error,,,,轴位置读取报错
-6100,,The point is not defined or has an incorrect name,,,,点位未定义或名称错误
-6103,,Offset points  are not defined or have incorrect names,,,,补偿点位未定义或名称错误
-6201,,Axial motion timeout,,,,轴运动超时
-6202,,Axis Do not Move Done,,,,Axis xx  Do not Move Done!
-6203,,Axis Move Done Error,,,,Axis xx  Move Done Error!
-6204,,The z-axis is not in a safe position,,,,Z轴不在安全位置
-7000,,DIO writing error,,,,DIO编写错误
-7001,,IO Single Check Timeout,,,,DI检测超时
-7002,,IO Card write or read error,,,,IO卡读写报错
-7100,,The EXT_DI name is undefined or incorrect,,,,EXT_DI名称未定义或错误
-7103,,Encoder detection timeout,,,,编码器检测超时
-7801,,The ErrorLog database was not found,,,,ErrorLog数据库未找到
-8000,,Stop abnormal,,,,急停异常
-8001,,Abnormal safety door,,,,安全门异常
-8002,,Grating abnormal,,,,光幕异常
-8003,,Air Source pressure is insufficient,,,,气源气压不足
-8004,,Abnormal Ion fan,,,,离子风扇异常！
-8005,,The Rubber has reached its service life.Please replace it!,,,,胶垫达到使用寿命..请及时更换！
-9000,,The interaction signal was not found locally,,,,本地未找到该交互信号
-9001,,Read PLC Single Timeout,,,,PLC xx 检测超时
-9005,,Error writing PLC address,,,,写入PLC地址信息错误
-9010,,Error reading PLC address,,,,读取PLC地址信息错误
60002,,GP-No Boolean variable found,,,,GP-未找到布尔变量
60003,,GP- Error reading Boolean variable value,,,,GP-读取布尔变量值出错
-110001,,Low pressure fault-Please check,,,,气压低故障-请检查
-110003,,Recipe data not written-Please check,,,,配方数据未写入请检查
-110005,,Grating abnormal-Please check,,,,光栅异常请检查
-110006,,The emergency stop circuit is faulty-Please check,,,,急停回路故障请检查
-110007,,The safety door loop is faulty-Please check,,,,安全门回路故障请检查
-110100,,ROBOT claw 1_Inconsistent material-Please confirm,,,,ROBOT夹爪1_料账不一致报警-请确认
-110101,,ROBOT claw 2_Inconsistent material-Please confirm,,,,ROBOT夹爪2_料账不一致报警-请确认
-110102,,Marking platform_Inconsistent material-Please confirm,,,,打标平台_料账不一致报警-请确认
-110103,,Assemble the jaws of the outer frame_Inconsistent material-Please confirm,,,,装配取外框夹爪_料账不一致报警-请确认
-110104,,Assemble the clamping jaws of the base plate_Inconsistent material-Please confirm,,,,装配取基板夹爪_料账不一致报警-请确认
-110105,,Left transplanting platform1_Inconsistent material-Please confirm,,,,左侧移栽平台位置1_料账不一致报警-请确认
-110106,,Left transplanting platform2_Inconsistent material-Please confirm,,,,左侧移栽平台位置2_料账不一致报警-请确认
-110107,,Left transplanting platform3_Inconsistent material-Please confirm,,,,左侧移栽平台位置3_料账不一致报警-请确认
-110108,,Right transplanting platform1_Inconsistent material-Please confirm,,,,右侧移栽平台位置1_料账不一致报警-请确认
-110109,,Right transplanting platform2_Inconsistent material-Please confirm,,,,右侧移栽平台位置2_料账不一致报警-请确认
-110110,,Right transplanting platform3_Inconsistent material-Please confirm,,,,右侧移栽平台位置3_料账不一致报警-请确认
-110111,,Tray receiving platform_Inconsistent material-Please confirm,,,,Tray盘接料平台_料账不一致报警-请确认
-110200,,B841_Assembly platform shell scanner_Response timeout-Please confirm,,,,B841_装配平台外壳 扫码枪_响应超时请确认
-110201,,B842_Dispensing cache bit scanner_Response timeout-Please confirm,,,,B842_点胶缓存位 扫码枪_响应超时请确认
-110202,,B843_Assemble the cache bit scanner_Response timeout-Please confirm,,,,B843_装配缓存位 扫码枪_响应超时请确认
-110203,,Dispensing working position MES_Response timeout-Please confirm,,,,点胶工作位 MES_响应超时请确认
-110204,,The dispensing work bit camera_Response timeout-Please confirm,,,,点胶工作位 相机_响应超时请确认
-110205,,Dispensing working position 3D_Response timeout-Please confirm,,,,点胶工作位 线扫_响应超时请确认
-110206,,Assemble the working position MES_Response timeout-Please confirm,,,,装配工作位 MES_响应超时请确认
-110207,,Assembly working position Top Camera_Response timeout-Please confirm,,,,装配工作位 顶部相机_响应超时请确认
-110208,,Assembly working position Bottom Camera_Response timeout-Please confirm,,,,装配工作位 底部相机_响应超时请确认
