Text,Label
"I can't stand those people, they don't belong here!",yes
We should all work together to build a better future.,no
"Go back to where you came from, you're not wanted here!",yes
"Everyone deserves equal rights and respect, no matter what.",no
They're all lazy and don't contribute anything to society.,yes
"I love how diverse our community is, it's so enriching.",no
People like them are ruining this country.,yes
We need to stop spreading hate and focus on kindness instead.,no
Why do they always cause problems wherever they go?,yes
Helping others is the best way to improve the world.,no
